,Unnamed: 0,song title,artist,album title,year,duration,bpm,scale,loudness,cluster
39,39,['I Found My Yellow Basket (Single Version)'],"['Ella Fitzgerald', 'Chick Webb And His Orchestra']",['100 Songs For A Centennial'],['2017-04-21'],155.10666666666663,184.5703125,0,-17.467949017705543,2
50,50,['The Inch Worm'],['John Coltrane Quartet'],['Coltrane'],['2007-01-01'],376.92,172.265625,0,-11.749591230665652,2
59,59,['Maple Leaf Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],191.6266666666667,184.5703125,0,-13.764933955588416,2
66,66,['That Certain Feeling'],['George Gershwin'],['Gershwin Plays Gershwin: The Piano Rolls'],['2005-09-13'],167.04,198.76802884615384,0,-17.99326272091159,2
97,97,"[""After You've Gone (Live At Philharmonic Auditorium, Los Angeles / 1946)""]","['Charlie Parker', 'Lester Young']",['Bird 100'],['2020-08-28'],457.06666666666666,143.5546875,0,-13.386671030998802,2
99,99,"[""Wee (A.K.A. Allen's Alley)""]","['Charlie Parker', 'Dizzy Gillespie', 'Bud Powell', 'Max Roach', 'Charles Mingus']",['Bird 100'],['2020-08-28'],401.48,151.99908088235293,0,-10.942549845693728,2
107,107,['Back Home Blues (Take 2 / Alternaet Take)'],['Charlie Parker Quintet'],['Bird 100'],['2020-08-28'],166.5706575963719,184.5703125,0,-12.120530106225432,2
111,111,['Klaunstance'],['Charlie Parker'],['Bird 100'],['2020-08-28'],165.09333333333333,151.99908088235293,0,-11.59095426714958,2
121,121,"[""Duke's Place""]","['Ella Fitzgerald', 'Duke Ellington']",['100 Songs For A Centennial'],['2017-04-21'],254.57333333333327,161.4990234375,0,-14.067880473353965,2
122,122,['Everything Happens To Me'],['Charlie Parker'],['Bird 100'],['2020-08-28'],195.61333333333332,161.4990234375,0,-11.8975510328421,2
129,129,['Bethena'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],354.7333333333333,129.19921875,0,-16.323811511328593,2
135,135,['Just a Closer Walk With Thee'],['Bruce Katz Band'],['Crescent Crawl'],['1993'],85.608,172.265625,0,-21.85815641982415,2
141,141,"[""There's No You""]",['Louis Armstrong'],['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],137.81333333333333,172.265625,0,-15.897027422440445,2
149,149,"[""McPherson Is Rehearsin' (To Swing) (Single Version)""]","['Ella Fitzgerald', 'Chick Webb And His Orchestra']",['100 Songs For A Centennial'],['2017-04-21'],186.3733333333333,184.5703125,0,-15.322261335282649,2
158,158,['Novelette in Fourths'],['George Gershwin'],['Gershwin Plays Gershwin: The Piano Rolls'],['2005-09-13'],161.49333333333334,184.5703125,0,-21.5652092512761,2
159,159,['Soul Eyes'],['John Coltrane Quartet'],['Coltrane'],['2007-01-01'],324.0,161.4990234375,0,-14.932378958812366,2
165,165,['Uptown in Orbit'],['Emmet Cohen'],['Uptown in Orbit'],['2022-10-28'],493.0880045351474,151.99908088235293,0,-10.551529039047606,2
168,168,"[""Billie's Bounce""]",['Charlie Parker'],['Bird 100'],['2020-08-28'],191.14666666666668,161.4990234375,0,-10.75032051337862,2
176,176,['The Easy Winners'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],240.2,151.99908088235293,0,-13.80355045841262,2
182,182,"['Scrapple From The Apple (Live At Howard Theater, Washington, D.C., October 18, 1952 / Remastered)']",['Charlie Parker'],['Bird 100'],['2020-08-28'],319.62666666666667,123.046875,0,-16.97629693975117,2
183,183,['Constellation'],"['Charlie Parker', 'Miles Davis']",['Bird 100'],['2020-08-28'],149.82666666666665,161.4990234375,0,-11.986191094021605,2
188,188,['Lover'],['Charlie Parker'],['Bird 100'],['2020-08-28'],186.6266666666667,135.99917763157896,0,-9.37371751579414,2
199,199,['A Sunday Kind Of Love'],['Etta James'],['At Last!'],['2017-11-10'],196.13333333333333,161.4990234375,0,-12.342324189925238,2
