,Unnamed: 0,song title,artist,album title,year,duration,bpm,scale,loudness,cluster
2,2,['Ko-Ko'],['Charlie Parker'],['Bird 100'],['2020-08-28'],177.65333333333334,99.38401442307692,1,-12.058870391198896,3
18,18,['Southside'],['Wardell Gray'],"['Wardell Gray Memorial, Vol. 1']",['1953-02-20'],200.06666666666663,123.046875,1,-15.805942688295442,3
21,21,"[""We'll Be Together Again""]",['Louis Armstrong'],['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],246.2133333333333,71.77734375,1,-14.103747323442818,3
22,22,"[""What's New?""]","['Louis Armstrong', 'Oscar Peterson']",['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],162.0,198.76802884615384,1,-17.67409829034305,3
24,24,"[""You're Blase""]",['Louis Armstrong'],['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],294.48,75.99954044117646,1,-14.908463035746918,3
25,25,"['How High The Moon (Live At Carnegie Hall, New York / 1949)']","['Charlie Parker', 'Ella Fitzgerald']",['Bird 100'],['2020-08-28'],384.2,99.38401442307692,1,-16.468674066157643,3
26,26,['Stairway To The Stars'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],172.06666666666666,112.34714673913044,1,-15.282333676812687,3
34,34,['Come Rain Or Come Shine'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],202.96,89.10290948275862,1,-14.078524039510029,3
35,35,['Milestones'],"['Charlie Parker', 'Miles Davis']",['Bird 100'],['2020-08-28'],158.85333333333332,161.4990234375,1,-13.116465735109212,3
38,38,['Dedicated To You'],"['Ella Fitzgerald', 'The Mills Brothers']",['100 Songs For A Centennial'],['2017-04-21'],193.74666666666667,107.666015625,1,-15.942833293090322,3
41,41,['Song For My Father'],['Horace Silver'],['Song For My Father'],['1999-01-01'],438.28,129.19921875,0,-11.569232886248283,3
43,43,['Night And Day'],['Charlie Parker'],['Bird 100'],['2020-08-28'],172.96,117.45383522727272,1,-14.406219339122767,3
48,48,['Hot House'],"['Charlie Parker', 'Dizzy Gillespie', 'Bud Powell', 'Max Roach', 'Charles Mingus']",['Bird 100'],['2020-08-28'],550.5866666666667,95.703125,0,-12.85431383611351,3
54,54,['Calcutta Cutie (Rudy Van Gelder Edition/1999 Digital Remaster)'],['Horace Silver'],['Song For My Father'],['1999-01-01'],511.0266666666666,71.77734375,1,-13.291927443068424,3
62,62,['Serenade In Blue (Remastered 2002)'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],205.6266666666667,117.45383522727272,1,-16.204728927696934,3
74,74,['When The Saints Go Marching In'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],148.8,112.34714673913044,1,-14.092378997424843,3
85,85,['Visa'],['Charlie Parker Septet'],['Bird 100'],['2020-08-28'],177.96,99.38401442307692,1,-14.299114442620478,3
87,87,['Half Nelson'],"['Charlie Parker', 'Miles Davis']",['Bird 100'],['2020-08-28'],165.36,95.703125,1,-13.94937869463742,3
89,89,['The Bird'],['Charlie Parker'],['Bird 100'],['2020-08-28'],286.0,112.34714673913044,1,-16.189822322241863,3
93,93,['Segment'],['Charlie Parker'],['Bird 100'],['2020-08-28'],199.64,123.046875,1,-17.034300915349018,3
100,100,['What Will I Tell My Heart'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],209.3733333333333,107.666015625,1,-14.87295200613051,3
101,101,['Blues (Fast)'],['Charlie Parker Quartet'],['Bird 100'],['2020-08-28'],165.13333333333333,123.046875,1,-13.662400820532346,3
