,Unnamed: 0,song title,artist,album title,year,duration,bpm,scale,loudness,cluster
16,16,['Pick up Sticks'],['The Dave Brubeck Quartet'],['Time Out'],['2009-05-22'],256.960022675737,135.99917763157896,0,-21.26175376559763,1
52,52,"[""BK's Broiler""]",['Bruce Katz Band'],['Crescent Crawl'],['1993'],296.9658,123.046875,0,-19.59500622157086,1
53,53,['Blue in Green (feat. John Coltrane & Bill Evans)'],"['Miles Davis', 'Bill Evans', 'John Coltrane']",['Kind Of Blue (Legacy Edition)'],['2009-01-15'],337.7333333333333,117.45383522727272,1,-25.139292289376023,1
55,55,['Contrition'],['Bruce Katz Band'],['Crescent Crawl'],['1993'],414.1548,117.45383522727272,0,-22.234677414473914,1
61,61,['Night And Day'],['Bill Evans'],['Coffee And Cigarettes'],['2023-05-23'],456.0133333333333,83.35433467741936,0,-15.687060795365593,1
65,65,['Take Five'],['The Dave Brubeck Quartet'],['Time Out'],['2009-05-22'],324.6800226757369,123.046875,1,-20.539904586545003,1
136,136,['My Foolish Heart'],['Bill Evans'],['Coffee And Cigarettes'],['2023-05-23'],298.0133333333333,117.45383522727272,1,-18.404768134196395,1
139,139,['So What (Studio Sequence 1)'],['Miles Davis'],['Kind Of Blue (Legacy Edition)'],['2009-01-15'],114.10666666666668,129.19921875,1,-27.00096252152559,1
160,160,['Strange Meadow Lark'],['The Dave Brubeck Quartet'],['Time Out'],['2009-05-22'],442.280022675737,123.046875,1,-22.17269992611667,1
166,166,"['Variations for Piano, Op. 41']",['Nikolai Kapustin'],['Nikolai Kapustin: Jazz Pieces for Piano'],['2017-12-15'],414.5,123.046875,0,-18.95363060893382,1
174,174,"['So What (Live at Kurhaus, Den Haag, Holland - April 1960)']",['Miles Davis'],['Kind Of Blue (Legacy Edition)'],['2009-01-15'],1049.2133333333334,135.99917763157896,1,-18.743952739703747,1
200,200,"['All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)']","['Miles Davis', 'Bill Evans', 'John Coltrane', 'Cannonball Adderley']",['Kind Of Blue (Legacy Edition)'],['2009-01-15'],692.7466666666667,135.99917763157896,0,-20.356231397435447,1
209,209,['Beast'],['Bruce Katz Band'],['Crescent Crawl'],['1993'],291.8763,117.45383522727272,1,-20.219222148559997,1
253,253,['Blue Rondo à la Turk'],['The Dave Brubeck Quartet'],['Time Out'],['2009-05-22'],403.92,117.45383522727272,0,-20.142228196236367,1
255,255,['Crescent Crawl'],['Bruce Katz Band'],['Crescent Crawl'],['1993'],422.3241,112.34714673913044,0,-19.643081089596084,1
260,260,['Out Of This World'],['John Coltrane Quartet'],['Coltrane'],['2007-01-01'],844.5733333333334,184.5703125,1,-10.209025808861885,1
262,262,"['So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)']","['Miles Davis', 'Bill Evans', 'John Coltrane', 'Cannonball Adderley']",['Kind Of Blue (Legacy Edition)'],['2009-01-15'],562.64,135.99917763157896,1,-18.52144521461204,1
263,263,['Some Other Time'],['Bill Evans'],['Coffee And Cigarettes'],['2023-05-23'],300.82666666666665,129.19921875,0,-18.742995341131422,1
307,307,['What Is This Thing Called Love? (Norman Granz Jam Session)'],['Charlie Parker'],['Bird 100'],['2020-08-28'],950.8,117.45383522727272,0,-16.92736508156696,1
311,311,"['Moose The Mooche (Live At The Storyville Club, Boston, U.S.A./1953)']",['Charlie Parker'],['Bird 100'],['2020-08-28'],315.2266666666667,117.45383522727272,0,-21.958148778176668,1
327,327,['Sweet And Lovely'],['Bill Evans'],['Coffee And Cigarettes'],['2023-05-23'],355.3333333333333,89.10290948275862,1,-16.39889229462647,1
328,328,['The Nearness Of You (Remastered)'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],191.89333333333332,83.35433467741936,1,-18.44642742416708,1
329,329,"[""Will it Go 'Round in Circles""]",['Bruce Katz Band'],['Crescent Crawl'],['1993'],377.7453,103.359375,1,-19.06719643402644,1
349,349,['You Go To My Head'],"['Louis Armstrong', 'Oscar Peterson']",['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],386.72,117.45383522727272,0,-17.047471734457382,1
360,360,"['Contemplation, Op. 47']",['Nikolai Kapustin'],['Nikolai Kapustin: Jazz Pieces for Piano'],['2017-12-15'],319.8069841269841,117.45383522727272,0,-20.320450791778693,1
361,361,['Detour Ahead'],['Bill Evans'],['Coffee And Cigarettes'],['2023-05-23'],456.73333333333335,103.359375,0,-18.406513304942163,1
363,363,['Fran-Dance (alternate take)'],['Miles Davis'],['Kind Of Blue (Legacy Edition)'],['2009-01-15'],351.82666666666665,112.34714673913044,0,-17.216436957576807,1
364,364,['Home'],['Louis Armstrong'],['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],346.94666666666666,80.74951171875,1,-16.08922704451136,1
365,365,['How Long Has This Been Going On?'],"['Louis Armstrong', 'Oscar Peterson']",['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],357.50666666666666,117.45383522727272,0,-17.26867874820662,1
366,366,"[""Kathy's Waltz""]",['The Dave Brubeck Quartet'],['Time Out'],['2009-05-22'],288.72,95.703125,0,-21.08483122103247,1
367,367,"[""Li'l Darlin'""]",['Emmet Cohen'],['Uptown in Orbit'],['2022-10-28'],432.9280045351474,86.1328125,0,-19.744046556850357,1
370,370,['Rhapsody in Blue'],['George Gershwin'],['Gershwin Plays Gershwin: The Piano Rolls'],['2005-09-13'],865.0,95.703125,0,-17.539706832323358,1
