,song title,artist,album title,year,duration,bpm,scale,loudness
421,['Wait And See'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],116.37333333333332,151.99908088235293,0,-13.311321810949783
427,['Be My Guest'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],136.4,143.5546875,0,-14.58813204876564
428,['Blues For Alice'],['Charlie Parker Quintet'],['Bird 100'],['2020-08-28'],166.3733333333333,172.265625,0,-12.66509569124555
430,['I Know'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],158.2,129.19921875,0,-13.239965521419744
432,['Telling Lies'],['Fats Domino'],['They Call Me The Fat Man (The Legendary Imperial Recordings)'],['2016-08-05'],144.90666666666667,117.45383522727272,0,-14.69368568974684
436,['Have You Met Miss Jones?'],['Louis Armstrong'],['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],278.46666666666664,112.34714673913044,0,-15.137113556939198
437,['Just an Expression'],['Bruce Katz Band'],['Crescent Crawl'],['1993'],208.9305,151.99908088235293,0,-20.650927795691388
438,"[""Let's Fall In Love""]","['Louis Armstrong', 'Oscar Peterson']",['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],197.10666666666663,135.99917763157896,0,-14.481372214020192
439,['Laird Baird'],['Charlie Parker Quartet'],['Bird 100'],['2020-08-28'],164.93333333333334,151.99908088235293,0,-15.039444674271634
441,['Confirmation'],['Charlie Parker'],['Bird 100'],['2020-08-28'],192.64,172.265625,0,-11.410160447872396
442,"[""Let's Face The Music And Dance""]","['Ella Fitzgerald', 'Paul Weston & His Orchestra']",['100 Songs For A Centennial'],['2017-04-21'],175.66666666666666,135.99917763157896,0,-14.462094229768011
444,"['Big Band Sounds, Op. 46']",['Nikolai Kapustin'],['Nikolai Kapustin: Jazz Pieces for Piano'],['2017-12-15'],252.0,129.19921875,0,-19.35516382430541
447,"[""Everybody's Jumpin'""]",['The Dave Brubeck Quartet'],['Time Out'],['2009-05-22'],261.840022675737,151.99908088235293,0,-20.54474155267604
449,['I Just Want To Make Love To You (Single Version)'],['Etta James'],['At Last!'],['2017-11-10'],185.6266666666667,103.359375,0,-11.515376577711026
451,['Lonely Woman (Remastered 1999/Rudy Van Gelder Edition)'],['Horace Silver'],['Song For My Father'],['1999-01-01'],422.9333333333333,103.359375,0,-13.73089716171756
452,['Moon Love (Remastered)'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],172.02666666666667,129.19921875,0,-16.20778346519996
453,"[""Nobody Knows The Trouble I've Seen (Re-record)""]",['Louis Armstrong'],['Pops Is Tops: The Verve Studio Albums'],['2018-04-13'],295.18666666666667,129.19921875,0,-14.705058692828183
455,['Blue Moon'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],194.22666666666663,103.359375,0,-13.63703355493175
456,['Ballade (Film Short Soundtrack Recording)'],"['Charlie Parker', 'Coleman Hawkins']",['Bird 100'],['2020-08-28'],176.0,143.5546875,0,-14.887711337673132
457,['You Hit The Spot'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],165.16,172.265625,1,-15.065855981254346
458,['Peace Piece'],['Bill Evans'],['Coffee And Cigarettes'],['2023-05-23'],402.7466666666666,172.265625,0,-17.296022645683937
461,['I Hear Music'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],140.24,143.5546875,0,-11.93053538718572
464,['Merry Go Round'],['Charlie Parker'],['Bird 100'],['2020-08-28'],147.22666666666666,151.99908088235293,0,-11.026084126858386
468,['Moonlight Serenade (2008 Remastered)'],['Frank Sinatra'],['Nothing But The Best (Remastered)'],['2008-05-05'],208.16,117.45383522727272,0,-11.880467269748598
469,['Beat Me Daddy Eight To The Bar (Remastered)'],['Glenn Miller'],['The Essential Glenn Miller'],['1996-01-02'],184.09333333333333,135.99917763157896,0,-18.41204837392235
470,['The Strenuous Life'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],224.36,161.4990234375,0,-12.714381952691635
471,['Peachtree Rag'],['Scott Joplin'],['The Entertainer - The Very Best Of Scott Joplin'],['2009-10-01'],217.6,172.265625,0,-13.937801224135924
474,['They All Laughed'],['Ella Fitzgerald'],['100 Songs For A Centennial'],['2017-04-21'],184.18666666666667,123.046875,0,-13.496864338588198
476,['My Melancholy Baby'],"['Charlie Parker', 'Dizzy Gillespie']",['Bird 100'],['2020-08-28'],200.6,129.19921875,0,-14.406018705675384
